[INFO] 2026-05-23 08:17:33 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:17:33 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:17:33 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:17:33 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:17:33 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:17:33 | F1System | ML pipeline tamamlandı: Bahrain
[INFO] 2026-05-23 08:17:33 | Visualization | Grafik üretimi başlıyor: Bahrain
[INFO] 2026-05-23 08:17:35 | Visualization | Üretilen grafik sayısı: 11
[INFO] 2026-05-23 08:17:48 | DataLoader | ==================================================
[INFO] 2026-05-23 08:17:48 | DataLoader | Yarış yükleniyor: Bahrain 2025
[SUCCESS] 2026-05-23 08:17:48 | F1System | Bahrain: Processed CSV'den yüklendi (200 tur).
[INFO] 2026-05-23 08:17:48 | Dashboard | API isteği: Azerbaijan
[INFO] 2026-05-23 08:17:48 | DataLoader | ==================================================
[INFO] 2026-05-23 08:17:48 | DataLoader | Yarış yükleniyor: Azerbaijan 2025
[WARNING] 2026-05-23 08:17:48 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:17:48 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:17:48 | Utils | Azerbaijan için örnek (simüle) veri üretiliyor.
[INFO] 2026-05-23 08:17:48 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:17:48 | Preprocessing | Preprocessing started: Azerbaijan (200 satır)
[INFO] 2026-05-23 08:17:48 | Preprocessing | Preprocessing tamamlandı: 200 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:17:48 | Database | Azerbaijan: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:17:48 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:17:48 | FeatureEngineering | Feature engineering başladı: Azerbaijan
[INFO] 2026-05-23 08:17:48 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:17:48 | F1System | Azerbaijan: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:17:48 | Analysis | Analizler başlıyor: Azerbaijan
[INFO] 2026-05-23 08:17:48 | Analysis | Tüm analizler tamamlandı: Azerbaijan
[INFO] 2026-05-23 08:17:48 | Models | ML pipeline başlıyor: Azerbaijan
[SUCCESS] 2026-05-23 08:17:48 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:17:48 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:17:48 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:17:48 | F1System | ML pipeline tamamlandı: Azerbaijan
[INFO] 2026-05-23 08:17:48 | Visualization | Grafik üretimi başlıyor: Azerbaijan
[INFO] 2026-05-23 08:17:50 | Visualization | Üretilen grafik sayısı: 11
[INFO] 2026-05-23 08:18:29 | Dashboard | API isteği: Bahrain
[INFO] 2026-05-23 08:18:29 | DataLoader | ==================================================
[INFO] 2026-05-23 08:18:29 | DataLoader | Yarış yükleniyor: Bahrain 2025
[SUCCESS] 2026-05-23 08:18:29 | F1System | Bahrain: Processed CSV'den yüklendi (200 tur).
[INFO] 2026-05-23 08:18:29 | Analysis | Analizler başlıyor: Bahrain
[INFO] 2026-05-23 08:18:29 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:18:29 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:18:29 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:18:29 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:18:29 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:18:29 | F1System | ML pipeline tamamlandı: Bahrain
[INFO] 2026-05-23 08:18:29 | Visualization | Grafik üretimi başlıyor: Bahrain
